Year,Tow#,Sample.ID,Otolith.ID,MQ.code,ID.checked,Greater.than.three.specimens,correct ID (from phylogenetic tree),Comment
2021,18,2021_13_18_182_1,Arctozenus risso,A.rizzo_2021_T18_1,Yes,Yes,,
2021,18,2021_13_18_182_10,Arctozenus risso,A.rizzo_2021_T18_10,Yes,Yes,,
2021,18,2021_13_18_182_2,Arctozenus risso,A.rizzo_2021_T18_2,Yes,Yes,,
2021,18,2021_13_18_182_3,Arctozenus risso,A.rizzo_2021_T18_3,Yes,Yes,,
2021,18,2021_13_18_182_4,Arctozenus risso,A.rizzo_2021_T18_4,Yes,Yes,,
2021,18,2021_13_18_182_5,Arctozenus risso,A.rizzo_2021_T18_5,Yes,Yes,,
2021,18,2021_13_18_182_6,Arctozenus risso,A.rizzo_2021_T18_6,Yes,Yes,,
2021,18,2021_13_18_182_7,Arctozenus risso,A.rizzo_2021_T18_7,Yes,Yes,,
2021,18,2021_13_18_182_8,Arctozenus risso,A.rizzo_2021_T18_8,Yes,Yes,,
2021,18,2021_13_18_182_9,Arctozenus risso,A.rizzo_2021_T18_9,Yes,Yes,,
2022,21,2022_21_087_1,Avocettina infans,A.infans_2022_T21_1,No,No,,we ran and re-ran this sample but it failed both times; There is no barcode for it; I'm happy with you using the taxonomic ID if you feel certain about it.
2022,21,2022_21_087_2,Avocettina infans,A.infans_2022_T21_2,No,No,,we ran and re-ran this sample but it failed both times; There is no barcode for it; I'm happy with you using the taxonomic ID if you feel certain about it.
2021,18,2021_13_18_165_1,Bathophilus flemingi,B.flemingi_2021_T18_1,Yes,No,,
2022,15,2022_15_152_2,Bathylagus pacificus,B.pacificus_2022_T15_1,No,NA,Pseudobathylagus milleri,"we ran and re-ran this sample but it failed both times; There is no barcode for it; BUT it groups with the Pseudobathylagus milleri, not B. pacificus"
2022,21,2022_21_152_1,Bathylagus pacificus,B.pacificus_2022_T21_1,Yes,No,,
2022,21,2022_21_152_3,Bathylagus pacificus,B.pacificus_2022_T21_2,Yes,No,,
2022,21,2022_21_152_5,Bathylagus pacificus,B.pacificus_2022_T21_3,Yes,No,,
2022,21,2022_21_152_6,Bathylagus pacificus,B.pacificus_2022_T21_4,No,NA,Pseudobathylagus milleri,"we ran and re-ran this sample but it failed both times; There is no barcode for it; BUT it groups with the Pseudobathylagus milleri, not B. pacificus"
2021,18,2021_13_18_179_1,Benthalbella dentata,B.dentata_2021_T18_1,Yes,No,,
2021,18,2021_13_18_179_2,Benthalbella dentata,B.dentata_2021_T18_2,Yes,No,,
2021,18,2021_13_18_179_3,Benthalbella dentata,B.dentata_2021_T18_3,Yes,No,,
2021,13,2021_13_13_171_1,Chauliodus macouni,C.macouni_2021_T13_1,Yes,Yes,,
2021,13,2021_13_13_171_10,Chauliodus macouni,C.macouni_2021_T13_10,Yes,Yes,,
2021,13,2021_13_13_171_11,Chauliodus macouni,C.macouni_2021_T13_11,Yes,Yes,,
2021,13,2021_13_13_171_12,Chauliodus macouni,C.macouni_2021_T13_12,Yes,Yes,,
2021,13,2021_13_13_171_13,Chauliodus macouni,C.macouni_2021_T13_13,No,NA,,"this specimen wasn't barcoded. It might not have an image, but the 171s are always properly identified at sea; I'm comfortable with identifying it to species"
2021,13,2021_13_13_171_2,Chauliodus macouni,C.macouni_2021_T13_2,Yes,Yes,,
2021,13,2021_13_13_171_3,Chauliodus macouni,C.macouni_2021_T13_3,Yes,Yes,,
2021,13,2021_13_13_171_4,Chauliodus macouni,C.macouni_2021_T13_4,Yes,Yes,,
2021,13,2021_13_13_171_5,Chauliodus macouni,C.macouni_2021_T13_5,Yes,Yes,,
2021,13,2021_13_13_171_6,Chauliodus macouni,C.macouni_2021_T13_6,Yes,Yes,,
2021,13,2021_13_13_171_7,Chauliodus macouni,C.macouni_2021_T13_7,Yes,Yes,,
2021,13,2021_13_13_171_8,Chauliodus macouni,C.macouni_2021_T13_8,Yes,Yes,,
2021,13,2021_13_13_171_9,Chauliodus macouni,C.macouni_2021_T13_9,Yes,Yes,,
2021,18,2021_13_18_171_1,Chauliodus macouni,C.macouni_2021_T18_1,Yes,Yes,,
2021,18,2021_13_18_171_10,Chauliodus macouni,C.macouni_2021_T18_10,Yes,Yes,,
2021,18,2021_13_18_171_2,Chauliodus macouni,C.macouni_2021_T18_2,Yes,Yes,,
2021,18,2021_13_18_171_3,Chauliodus macouni,C.macouni_2021_T18_3,Yes,Yes,,
2021,18,2021_13_18_171_4,Chauliodus macouni,C.macouni_2021_T18_4,Yes,Yes,,
2021,18,2021_13_18_171_5,Chauliodus macouni,C.macouni_2021_T18_5,Yes,Yes,,
2021,18,2021_13_18_171_6,Chauliodus macouni,C.macouni_2021_T18_6,Yes,Yes,,
2021,18,2021_13_18_171_7,Chauliodus macouni,C.macouni_2021_T18_7,Yes,Yes,,
2021,18,2021_13_18_171_8,Chauliodus macouni,C.macouni_2021_T18_8,Yes,Yes,,
2021,18,2021_13_18_171_9,Chauliodus macouni,C.macouni_2021_T18_9,Yes,Yes,,
2021,1,2021_13_1_189_1,Diaphus theta,D.theta_2021_T1_1,Yes,Yes,,
2021,1,2021_13_1_189_10,Diaphus theta,D.theta_2021_T1_10,Yes,Yes,,
2021,1,2021_13_1_189_2,Diaphus theta,D.theta_2021_T1_2,Yes,Yes,,
2021,1,2021_13_1_189_3,Diaphus theta,D.theta_2021_T1_3,Yes,Yes,,
2021,1,2021_13_1_189_4,Diaphus theta,D.theta_2021_T1_4,Yes,Yes,,
2021,1,2021_13_1_189_5,Diaphus theta,D.theta_2021_T1_5,Yes,Yes,,
2021,1,2021_13_1_189_6,Diaphus theta,D.theta_2021_T1_6,Yes,Yes,,
2021,1,2021_13_1_189_7,Diaphus theta,D.theta_2021_T1_7,Yes,Yes,,
2021,1,2021_13_1_189_8,Diaphus theta,D.theta_2021_T1_8,Yes,Yes,,
2021,1,2021_13_1_189_9,Diaphus theta,D.theta_2021_T1_9,Yes,Yes,,
2021,12,2021_13_12_189_1,Diaphus theta,D.theta_2021_T12_1,Yes,Yes,,
2021,12,2021_13_12_189_2,Diaphus theta,D.theta_2021_T12_2,Yes,Yes,,
2021,12,2021_13_12_189_3,Diaphus theta,D.theta_2021_T12_3,Yes,Yes,,
2021,12,2021_13_12_189_4,Diaphus theta,D.theta_2021_T12_4,Yes,Yes,,
2021,12,2021_13_12_189_5,Diaphus theta,D.theta_2021_T12_5,Yes,Yes,,
2021,18,2021_13_18_189_1,Diaphus theta,D.theta_2021_T18_1,Yes,Yes,,
2021,18,2021_13_18_189_2,Diaphus theta,D.theta_2021_T18_2,Yes,Yes,,
2021,18,2021_13_18_189_3,Diaphus theta,D.theta_2021_T18_3,Yes,Yes,,
2021,18,2021_13_18_189_4,Diaphus theta,D.theta_2021_T18_4,Yes,Yes,,
2021,18,2021_13_18_189_5,Diaphus theta,D.theta_2021_T18_5,Yes,Yes,,
2021,18,2021_13_18_189_6,Diaphus theta,D.theta_2021_T18_6,Yes,Yes,,
2021,18,2021_13_18_189_7,Diaphus theta,D.theta_2021_T18_7,Yes,Yes,,
2021,2,2021_13_2_189_1,Diaphus theta,D.theta_2021_T2_1,Yes,Yes,,
2021,2,2021_13_2_189_10,Diaphus theta,D.theta_2021_T2_10,Yes,Yes,,
2021,2,2021_13_2_189_2,Diaphus theta,D.theta_2021_T2_2,Yes,Yes,,
2021,2,2021_13_2_189_3,Diaphus theta,D.theta_2021_T2_3,Yes,Yes,,
2021,2,2021_13_2_189_4,Diaphus theta,D.theta_2021_T2_4,Yes,Yes,,
2021,2,2021_13_2_189_5,Diaphus theta,D.theta_2021_T2_5,Yes,Yes,,
2021,2,2021_13_2_189_6,Diaphus theta,D.theta_2021_T2_6,Yes,Yes,,
2021,2,2021_13_2_189_7,Diaphus theta,D.theta_2021_T2_7,Yes,Yes,,
2021,2,2021_13_2_189_8,Diaphus theta,D.theta_2021_T2_8,Yes,Yes,,
2021,2,2021_13_2_189_9,Diaphus theta,D.theta_2021_T2_9,Yes,Yes,,
2021,3,2021_13_3_189_1,Diaphus theta,D.theta_2021_T3_1,Yes,Yes,,
